gen_model,K_true,hierch,kappa_mean,psi_mean,rep_id,d_vi_WST_minus_SST,d_ari_WST_minus_SST,d_looic_WST_minus_SST,WST_better_vi,SST_better_vi,WST_better_ari,SST_better_ari,WST_better_looic,SST_better_looic
WST,5,medium,0.75,0.7,3,0,0,-17.325108317960257,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,weak,6,0.2,3,0,0,-0.05752393739930994,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,medium,6,0.7,3,0,0,-83.31188539379946,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,weak,1.5,0.2,3,0,0,7.148592134950377,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,3,strong,6,1.3,3,0,0,-25.627292575500178,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,medium,1.5,0.7,3,-0.05081935110582092,0.014110886405795053,-12.32393030223011,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,5,strong,1.5,1.3,3,0,0,8.08355830580058,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,5,weak,3,0.2,3,0,0,-13.929574113770286,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,medium,3,0.7,3,0,0,-57.0449247851011,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,weak,0.75,0.2,3,0.3163204283628298,-0.09836851196790797,-7.079720656940481,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
WST,5,strong,3,1.3,3,0,0,-27.722264462448948,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,medium,0.75,0.7,3,-0.31872911119010094,0.19216093228976405,-17.096978654400118,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,5,weak,6,0.2,3,0,0,-47.12291641770025,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,strong,0.75,1.3,3,0.07795145703960993,0,32.93235811683007,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
WST,5,medium,6,0.7,3,0,0,-67.80142212770079,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,strong,6,1.3,3,0,0,-8.072299048200875,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,weak,1.5,0.2,3,-0.4040169989262721,0.29615069982479303,-73.09103442827018,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,8,medium,1.5,0.7,3,0,0,-100.45065234308004,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,strong,1.5,1.3,3,0,0,12.953532178189562,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
