"gen_model","hierch","kappa_mean","K_true","fit_model","n_runs","mean_K_hat","sd_K_hat","prop_K_true","prop_K_under","prop_K_over","mean_ari","sd_ari","mean_vi","mean_elpd","sd_elpd","mean_pk_bad"
"WST","strong",3,3,"WST",4,3,0,1,0,0,0.98739067534688,0.0252186493062405,0.0480335130121913,-4693.48352364561,557.496898790608,0.00310734463276836
"WST","strong",3,3,"DC-SBM",4,3,0,1,0,0,1,0,4.44089209850063e-16,-4689.95210341519,557.771942726967,0
"WST","strong",3,5,"SST",4,5,0,1,0,0,1,0,0,-4988.39762714823,441.78269538593,0.000282485875706215
"WST","strong",3,5,"WST",4,5,0,1,0,0,1,0,0,-4969.48986393245,422.774090716088,0
"WST","strong",3,5,"DC-SBM",4,5,0,1,0,0,1,0,0,-4968.04047856655,423.149226054967,0
"WST","strong",3,8,"SST",4,8,0,1,0,0,0.990697557836044,0.0186048843279115,0.035375937481971,-4896.89588921324,175.980929023569,0.00225988700564972
"WST","strong",3,8,"WST",4,8,0,1,0,0,0.990697557836044,0.0186048843279115,0.035375937481971,-4946.25476227458,196.304545525119,0.00112994350282486
"WST","strong",3,8,"DC-SBM",4,7.75,0.5,0.75,0.25,0,0.947069933169183,0.0829299164550438,0.102042604148638,-4904.61432910102,227.252714606307,0.000423728813559323
"WST","strong",6,3,"SST",4,3,0,1,0,0,1,0,4.44089209850063e-16,-5794.39017957547,562.479207624953,0
"WST","strong",6,3,"WST",4,3,0,1,0,0,1,0,4.44089209850063e-16,-5782.43637788621,566.057738114846,0
