# source, target, time, date
14,2,234,2010
14,16,235,2010
14,5,255,2010
14,13,261,2010
14,13,262,2010
14,17,269,2010
14,17,270,2010
14,6,274,2010
14,6,275,2010
14,15,286,2010
14,15,291,2010
14,15,292,2010
14,6,299,2010
14,15,300,2010
14,11,369,2011
14,18,375,2011
14,5,384,2011
14,5,385,2011
14,17,388,2011
14,11,391,2011
14,18,420,2011
14,13,525,2012
14,18,639,2012
14,6,774,2012
14,2,777,2012
14,6,778,2012
14,2,782,2012
14,11,789,2012
14,17,798,2012
14,2,799,2012
14,2,805,2012
14,2,806,2012
14,6,810,2012
14,11,814,2012
14,17,820,2012
14,6,821,2012
14,6,822,2012
14,6,824,2012
14,2,833,2012
14,11,835,2012
14,6,842,2012
14,6,843,2012
14,18,863,2013
14,2,864,2013
14,2,866,2013
14,2,867,2013
14,2,868,2013
14,2,869,2013
14,2,870,2013
14,2,871,2013
14,22,900,2013
14,22,901,2013
14,22,902,2013
14,23,938,2013
14,15,958,2013
14,15,959,2013
14,6,960,2013
14,11,963,2013
14,18,1000,2013
14,18,1001,2013
14,15,1110,2014
14,2,1124,2014
14,20,1125,2014
14,20,1130,2014
14,24,1184,2014
14,12,1202,2014
14,24,1204,2014
14,20,1207,2014
14,20,1208,2014
14,26,1363,2015
14,20,1366,2015
14,20,1367,2015
14,20,1368,2015
14,24,1374,2015
14,22,1376,2015
14,24,1378,2015
14,24,1379,2015
14,24,1381,2015
14,24,1382,2015
14,24,1383,2015
14,30,1389,2015
14,24,1390,2015
14,24,1391,2015
14,24,1392,2015
14,24,1393,2015
14,20,1396,2015
14,20,1397,2015
14,27,1404,2015
14,27,1405,2015
14,27,1406,2015
14,27,1407,2015
14,27,1408,2015
14,27,1409,2015
14,27,1410,2015
14,27,1411,2015
14,27,1412,2015
14,27,1413,2015
14,27,1414,2015
14,27,1415,2015
14,6,1416,2015
14,27,1417,2015
14,27,1418,2015
14,27,1419,2015
14,27,1420,2015
14,27,1421,2015
14,27,1422,2015
14,27,1423,2015
14,27,1424,2015
14,27,1425,2015
14,27,1426,2015
14,27,1427,2015
14,27,1428,2015
14,27,1429,2015
14,27,1430,2015
14,27,1431,2015
14,27,1432,2015
14,27,1433,2015
14,27,1434,2015
14,27,1435,2015
14,27,1436,2015
14,20,1458,2015
14,0,1459,2015
14,0,1460,2015
14,27,1463,2015
14,27,1464,2015
14,20,1469,2015
14,0,1470,2015
14,22,1471,2015
14,22,1472,2015
14,24,1473,2015
14,29,1481,2015
14,24,1482,2015
14,24,1483,2015
14,0,1487,2015
14,0,1488,2015
14,24,1491,2015
14,24,1492,2015
